date,year,quarter,month,month_name,day,day_of_week,day_name
01/01/2024,2024,1,1,January,1,1,Monday
02/01/2024,2024,1,1,January,2,2,Tuesday
03/01/2024,2024,1,1,January,3,3,Wednesday
04/01/2024,2024,1,1,January,4,4,Thursday
05/01/2024,2024,1,1,January,5,5,Friday
06/01/2024,2024,1,1,January,6,6,Saturday
07/01/2024,2024,1,1,January,7,7,Sunday
08/01/2024,2024,1,1,January,8,1,Monday
09/01/2024,2024,1,1,January,9,2,Tuesday
10/01/2024,2024,1,1,January,10,3,Wednesday
11/01/2024,2024,1,1,January,11,4,Thursday
12/01/2024,2024,1,1,January,12,5,Friday
13/01/2024,2024,1,1,January,13,6,Saturday
14/01/2024,2024,1,1,January,14,7,Sunday
15/01/2024,2024,1,1,January,15,1,Monday
16/01/2024,2024,1,1,January,16,2,Tuesday
17/01/2024,2024,1,1,January,17,3,Wednesday
18/01/2024,2024,1,1,January,18,4,Thursday
19/01/2024,2024,1,1,January,19,5,Friday
20/01/2024,2024,1,1,January,20,6,Saturday
21/01/2024,2024,1,1,January,21,7,Sunday
22/01/2024,2024,1,1,January,22,1,Monday
23/01/2024,2024,1,1,January,23,2,Tuesday
24/01/2024,2024,1,1,January,24,3,Wednesday
25/01/2024,2024,1,1,January,25,4,Thursday
26/01/2024,2024,1,1,January,26,5,Friday
27/01/2024,2024,1,1,January,27,6,Saturday
28/01/2024,2024,1,1,January,28,7,Sunday
29/01/2024,2024,1,1,January,29,1,Monday
30/01/2024,2024,1,1,January,30,2,Tuesday
31/01/2024,2024,1,1,January,31,3,Wednesday
01/02/2024,2024,1,2,February,1,4,Thursday
02/02/2024,2024,1,2,February,2,5,Friday
03/02/2024,2024,1,2,February,3,6,Saturday
04/02/2024,2024,1,2,February,4,7,Sunday
05/02/2024,2024,1,2,February,5,1,Monday
06/02/2024,2024,1,2,February,6,2,Tuesday
07/02/2024,2024,1,2,February,7,3,Wednesday
08/02/2024,2024,1,2,February,8,4,Thursday
09/02/2024,2024,1,2,February,9,5,Friday
10/02/2024,2024,1,2,February,10,6,Saturday
11/02/2024,2024,1,2,February,11,7,Sunday
12/02/2024,2024,1,2,February,12,1,Monday
13/02/2024,2024,1,2,February,13,2,Tuesday
14/02/2024,2024,1,2,February,14,3,Wednesday
15/02/2024,2024,1,2,February,15,4,Thursday
16/02/2024,2024,1,2,February,16,5,Friday
17/02/2024,2024,1,2,February,17,6,Saturday
18/02/2024,2024,1,2,February,18,7,Sunday
19/02/2024,2024,1,2,February,19,1,Monday
20/02/2024,2024,1,2,February,20,2,Tuesday
21/02/2024,2024,1,2,February,21,3,Wednesday
22/02/2024,2024,1,2,February,22,4,Thursday
23/02/2024,2024,1,2,February,23,5,Friday
24/02/2024,2024,1,2,February,24,6,Saturday
25/02/2024,2024,1,2,February,25,7,Sunday
26/02/2024,2024,1,2,February,26,1,Monday
27/02/2024,2024,1,2,February,27,2,Tuesday
28/02/2024,2024,1,2,February,28,3,Wednesday
29/02/2024,2024,1,2,February,29,4,Thursday
01/03/2024,2024,1,3,March,1,5,Friday
02/03/2024,2024,1,3,March,2,6,Saturday
03/03/2024,2024,1,3,March,3,7,Sunday
04/03/2024,2024,1,3,March,4,1,Monday
05/03/2024,2024,1,3,March,5,2,Tuesday
06/03/2024,2024,1,3,March,6,3,Wednesday
07/03/2024,2024,1,3,March,7,4,Thursday
08/03/2024,2024,1,3,March,8,5,Friday
09/03/2024,2024,1,3,March,9,6,Saturday
10/03/2024,2024,1,3,March,10,7,Sunday
11/03/2024,2024,1,3,March,11,1,Monday
12/03/2024,2024,1,3,March,12,2,Tuesday
13/03/2024,2024,1,3,March,13,3,Wednesday
14/03/2024,2024,1,3,March,14,4,Thursday
15/03/2024,2024,1,3,March,15,5,Friday
16/03/2024,2024,1,3,March,16,6,Saturday
17/03/2024,2024,1,3,March,17,7,Sunday
18/03/2024,2024,1,3,March,18,1,Monday
19/03/2024,2024,1,3,March,19,2,Tuesday
20/03/2024,2024,1,3,March,20,3,Wednesday
21/03/2024,2024,1,3,March,21,4,Thursday
22/03/2024,2024,1,3,March,22,5,Friday
23/03/2024,2024,1,3,March,23,6,Saturday
24/03/2024,2024,1,3,March,24,7,Sunday
25/03/2024,2024,1,3,March,25,1,Monday
26/03/2024,2024,1,3,March,26,2,Tuesday
27/03/2024,2024,1,3,March,27,3,Wednesday
28/03/2024,2024,1,3,March,28,4,Thursday
29/03/2024,2024,1,3,March,29,5,Friday
30/03/2024,2024,1,3,March,30,6,Saturday
31/03/2024,2024,1,3,March,31,7,Sunday
01/04/2024,2024,2,4,April,1,1,Monday
02/04/2024,2024,2,4,April,2,2,Tuesday
03/04/2024,2024,2,4,April,3,3,Wednesday
04/04/2024,2024,2,4,April,4,4,Thursday
05/04/2024,2024,2,4,April,5,5,Friday
06/04/2024,2024,2,4,April,6,6,Saturday
07/04/2024,2024,2,4,April,7,7,Sunday
08/04/2024,2024,2,4,April,8,1,Monday
09/04/2024,2024,2,4,April,9,2,Tuesday
10/04/2024,2024,2,4,April,10,3,Wednesday
11/04/2024,2024,2,4,April,11,4,Thursday
12/04/2024,2024,2,4,April,12,5,Friday
13/04/2024,2024,2,4,April,13,6,Saturday
14/04/2024,2024,2,4,April,14,7,Sunday
15/04/2024,2024,2,4,April,15,1,Monday
16/04/2024,2024,2,4,April,16,2,Tuesday
17/04/2024,2024,2,4,April,17,3,Wednesday
18/04/2024,2024,2,4,April,18,4,Thursday
19/04/2024,2024,2,4,April,19,5,Friday
20/04/2024,2024,2,4,April,20,6,Saturday
21/04/2024,2024,2,4,April,21,7,Sunday
22/04/2024,2024,2,4,April,22,1,Monday
23/04/2024,2024,2,4,April,23,2,Tuesday
24/04/2024,2024,2,4,April,24,3,Wednesday
25/04/2024,2024,2,4,April,25,4,Thursday
26/04/2024,2024,2,4,April,26,5,Friday
27/04/2024,2024,2,4,April,27,6,Saturday
28/04/2024,2024,2,4,April,28,7,Sunday
29/04/2024,2024,2,4,April,29,1,Monday
30/04/2024,2024,2,4,April,30,2,Tuesday
01/05/2024,2024,2,5,May,1,3,Wednesday
02/05/2024,2024,2,5,May,2,4,Thursday
03/05/2024,2024,2,5,May,3,5,Friday
04/05/2024,2024,2,5,May,4,6,Saturday
05/05/2024,2024,2,5,May,5,7,Sunday
06/05/2024,2024,2,5,May,6,1,Monday
07/05/2024,2024,2,5,May,7,2,Tuesday
08/05/2024,2024,2,5,May,8,3,Wednesday
09/05/2024,2024,2,5,May,9,4,Thursday
10/05/2024,2024,2,5,May,10,5,Friday
11/05/2024,2024,2,5,May,11,6,Saturday
12/05/2024,2024,2,5,May,12,7,Sunday
13/05/2024,2024,2,5,May,13,1,Monday
14/05/2024,2024,2,5,May,14,2,Tuesday
15/05/2024,2024,2,5,May,15,3,Wednesday
16/05/2024,2024,2,5,May,16,4,Thursday
17/05/2024,2024,2,5,May,17,5,Friday
18/05/2024,2024,2,5,May,18,6,Saturday
19/05/2024,2024,2,5,May,19,7,Sunday
20/05/2024,2024,2,5,May,20,1,Monday
21/05/2024,2024,2,5,May,21,2,Tuesday
22/05/2024,2024,2,5,May,22,3,Wednesday
23/05/2024,2024,2,5,May,23,4,Thursday
24/05/2024,2024,2,5,May,24,5,Friday
25/05/2024,2024,2,5,May,25,6,Saturday
26/05/2024,2024,2,5,May,26,7,Sunday
27/05/2024,2024,2,5,May,27,1,Monday
28/05/2024,2024,2,5,May,28,2,Tuesday
29/05/2024,2024,2,5,May,29,3,Wednesday
30/05/2024,2024,2,5,May,30,4,Thursday
31/05/2024,2024,2,5,May,31,5,Friday
01/06/2024,2024,2,6,June,1,6,Saturday
02/06/2024,2024,2,6,June,2,7,Sunday
03/06/2024,2024,2,6,June,3,1,Monday
04/06/2024,2024,2,6,June,4,2,Tuesday
05/06/2024,2024,2,6,June,5,3,Wednesday
06/06/2024,2024,2,6,June,6,4,Thursday
07/06/2024,2024,2,6,June,7,5,Friday
08/06/2024,2024,2,6,June,8,6,Saturday
09/06/2024,2024,2,6,June,9,7,Sunday
10/06/2024,2024,2,6,June,10,1,Monday
11/06/2024,2024,2,6,June,11,2,Tuesday
12/06/2024,2024,2,6,June,12,3,Wednesday
13/06/2024,2024,2,6,June,13,4,Thursday
14/06/2024,2024,2,6,June,14,5,Friday
15/06/2024,2024,2,6,June,15,6,Saturday
16/06/2024,2024,2,6,June,16,7,Sunday
17/06/2024,2024,2,6,June,17,1,Monday
18/06/2024,2024,2,6,June,18,2,Tuesday
19/06/2024,2024,2,6,June,19,3,Wednesday
20/06/2024,2024,2,6,June,20,4,Thursday
21/06/2024,2024,2,6,June,21,5,Friday
22/06/2024,2024,2,6,June,22,6,Saturday
23/06/2024,2024,2,6,June,23,7,Sunday
24/06/2024,2024,2,6,June,24,1,Monday
25/06/2024,2024,2,6,June,25,2,Tuesday
26/06/2024,2024,2,6,June,26,3,Wednesday
27/06/2024,2024,2,6,June,27,4,Thursday
28/06/2024,2024,2,6,June,28,5,Friday
29/06/2024,2024,2,6,June,29,6,Saturday
30/06/2024,2024,2,6,June,30,7,Sunday
01/07/2024,2024,3,7,July,1,1,Monday
02/07/2024,2024,3,7,July,2,2,Tuesday
03/07/2024,2024,3,7,July,3,3,Wednesday
04/07/2024,2024,3,7,July,4,4,Thursday
05/07/2024,2024,3,7,July,5,5,Friday
06/07/2024,2024,3,7,July,6,6,Saturday
07/07/2024,2024,3,7,July,7,7,Sunday
08/07/2024,2024,3,7,July,8,1,Monday
09/07/2024,2024,3,7,July,9,2,Tuesday
10/07/2024,2024,3,7,July,10,3,Wednesday
11/07/2024,2024,3,7,July,11,4,Thursday
12/07/2024,2024,3,7,July,12,5,Friday
13/07/2024,2024,3,7,July,13,6,Saturday
14/07/2024,2024,3,7,July,14,7,Sunday
15/07/2024,2024,3,7,July,15,1,Monday
16/07/2024,2024,3,7,July,16,2,Tuesday
17/07/2024,2024,3,7,July,17,3,Wednesday
18/07/2024,2024,3,7,July,18,4,Thursday
19/07/2024,2024,3,7,July,19,5,Friday
20/07/2024,2024,3,7,July,20,6,Saturday
21/07/2024,2024,3,7,July,21,7,Sunday
22/07/2024,2024,3,7,July,22,1,Monday
23/07/2024,2024,3,7,July,23,2,Tuesday
24/07/2024,2024,3,7,July,24,3,Wednesday
25/07/2024,2024,3,7,July,25,4,Thursday
26/07/2024,2024,3,7,July,26,5,Friday
27/07/2024,2024,3,7,July,27,6,Saturday
28/07/2024,2024,3,7,July,28,7,Sunday
29/07/2024,2024,3,7,July,29,1,Monday
30/07/2024,2024,3,7,July,30,2,Tuesday
31/07/2024,2024,3,7,July,31,3,Wednesday
01/08/2024,2024,3,8,August,1,4,Thursday
02/08/2024,2024,3,8,August,2,5,Friday
03/08/2024,2024,3,8,August,3,6,Saturday
04/08/2024,2024,3,8,August,4,7,Sunday
05/08/2024,2024,3,8,August,5,1,Monday
06/08/2024,2024,3,8,August,6,2,Tuesday
07/08/2024,2024,3,8,August,7,3,Wednesday
08/08/2024,2024,3,8,August,8,4,Thursday
09/08/2024,2024,3,8,August,9,5,Friday
10/08/2024,2024,3,8,August,10,6,Saturday
11/08/2024,2024,3,8,August,11,7,Sunday
12/08/2024,2024,3,8,August,12,1,Monday
13/08/2024,2024,3,8,August,13,2,Tuesday
14/08/2024,2024,3,8,August,14,3,Wednesday
15/08/2024,2024,3,8,August,15,4,Thursday
16/08/2024,2024,3,8,August,16,5,Friday
17/08/2024,2024,3,8,August,17,6,Saturday
18/08/2024,2024,3,8,August,18,7,Sunday
19/08/2024,2024,3,8,August,19,1,Monday
20/08/2024,2024,3,8,August,20,2,Tuesday
21/08/2024,2024,3,8,August,21,3,Wednesday
22/08/2024,2024,3,8,August,22,4,Thursday
23/08/2024,2024,3,8,August,23,5,Friday
24/08/2024,2024,3,8,August,24,6,Saturday
25/08/2024,2024,3,8,August,25,7,Sunday
26/08/2024,2024,3,8,August,26,1,Monday
27/08/2024,2024,3,8,August,27,2,Tuesday
28/08/2024,2024,3,8,August,28,3,Wednesday
29/08/2024,2024,3,8,August,29,4,Thursday
30/08/2024,2024,3,8,August,30,5,Friday
31/08/2024,2024,3,8,August,31,6,Saturday
01/09/2024,2024,3,9,September,1,7,Sunday
02/09/2024,2024,3,9,September,2,1,Monday
03/09/2024,2024,3,9,September,3,2,Tuesday
04/09/2024,2024,3,9,September,4,3,Wednesday
05/09/2024,2024,3,9,September,5,4,Thursday
06/09/2024,2024,3,9,September,6,5,Friday
07/09/2024,2024,3,9,September,7,6,Saturday
08/09/2024,2024,3,9,September,8,7,Sunday
09/09/2024,2024,3,9,September,9,1,Monday
10/09/2024,2024,3,9,September,10,2,Tuesday
11/09/2024,2024,3,9,September,11,3,Wednesday
12/09/2024,2024,3,9,September,12,4,Thursday
13/09/2024,2024,3,9,September,13,5,Friday
14/09/2024,2024,3,9,September,14,6,Saturday
15/09/2024,2024,3,9,September,15,7,Sunday
16/09/2024,2024,3,9,September,16,1,Monday
17/09/2024,2024,3,9,September,17,2,Tuesday
18/09/2024,2024,3,9,September,18,3,Wednesday
19/09/2024,2024,3,9,September,19,4,Thursday
20/09/2024,2024,3,9,September,20,5,Friday
21/09/2024,2024,3,9,September,21,6,Saturday
22/09/2024,2024,3,9,September,22,7,Sunday
23/09/2024,2024,3,9,September,23,1,Monday
24/09/2024,2024,3,9,September,24,2,Tuesday
25/09/2024,2024,3,9,September,25,3,Wednesday
26/09/2024,2024,3,9,September,26,4,Thursday
27/09/2024,2024,3,9,September,27,5,Friday
28/09/2024,2024,3,9,September,28,6,Saturday
29/09/2024,2024,3,9,September,29,7,Sunday
30/09/2024,2024,3,9,September,30,1,Monday
01/10/2024,2024,4,10,October,1,2,Tuesday
02/10/2024,2024,4,10,October,2,3,Wednesday
03/10/2024,2024,4,10,October,3,4,Thursday
04/10/2024,2024,4,10,October,4,5,Friday
05/10/2024,2024,4,10,October,5,6,Saturday
06/10/2024,2024,4,10,October,6,7,Sunday
07/10/2024,2024,4,10,October,7,1,Monday
08/10/2024,2024,4,10,October,8,2,Tuesday
09/10/2024,2024,4,10,October,9,3,Wednesday
10/10/2024,2024,4,10,October,10,4,Thursday
11/10/2024,2024,4,10,October,11,5,Friday
12/10/2024,2024,4,10,October,12,6,Saturday
13/10/2024,2024,4,10,October,13,7,Sunday
14/10/2024,2024,4,10,October,14,1,Monday
15/10/2024,2024,4,10,October,15,2,Tuesday
16/10/2024,2024,4,10,October,16,3,Wednesday
17/10/2024,2024,4,10,October,17,4,Thursday
18/10/2024,2024,4,10,October,18,5,Friday
19/10/2024,2024,4,10,October,19,6,Saturday
20/10/2024,2024,4,10,October,20,7,Sunday
21/10/2024,2024,4,10,October,21,1,Monday
22/10/2024,2024,4,10,October,22,2,Tuesday
23/10/2024,2024,4,10,October,23,3,Wednesday
24/10/2024,2024,4,10,October,24,4,Thursday
25/10/2024,2024,4,10,October,25,5,Friday
26/10/2024,2024,4,10,October,26,6,Saturday
27/10/2024,2024,4,10,October,27,7,Sunday
28/10/2024,2024,4,10,October,28,1,Monday
29/10/2024,2024,4,10,October,29,2,Tuesday
30/10/2024,2024,4,10,October,30,3,Wednesday
31/10/2024,2024,4,10,October,31,4,Thursday
01/11/2024,2024,4,11,November,1,5,Friday
02/11/2024,2024,4,11,November,2,6,Saturday
03/11/2024,2024,4,11,November,3,7,Sunday
04/11/2024,2024,4,11,November,4,1,Monday
05/11/2024,2024,4,11,November,5,2,Tuesday
06/11/2024,2024,4,11,November,6,3,Wednesday
07/11/2024,2024,4,11,November,7,4,Thursday
08/11/2024,2024,4,11,November,8,5,Friday
09/11/2024,2024,4,11,November,9,6,Saturday
10/11/2024,2024,4,11,November,10,7,Sunday
11/11/2024,2024,4,11,November,11,1,Monday
12/11/2024,2024,4,11,November,12,2,Tuesday
13/11/2024,2024,4,11,November,13,3,Wednesday
14/11/2024,2024,4,11,November,14,4,Thursday
15/11/2024,2024,4,11,November,15,5,Friday
16/11/2024,2024,4,11,November,16,6,Saturday
17/11/2024,2024,4,11,November,17,7,Sunday
18/11/2024,2024,4,11,November,18,1,Monday
19/11/2024,2024,4,11,November,19,2,Tuesday
20/11/2024,2024,4,11,November,20,3,Wednesday
21/11/2024,2024,4,11,November,21,4,Thursday
22/11/2024,2024,4,11,November,22,5,Friday
23/11/2024,2024,4,11,November,23,6,Saturday
24/11/2024,2024,4,11,November,24,7,Sunday
25/11/2024,2024,4,11,November,25,1,Monday
26/11/2024,2024,4,11,November,26,2,Tuesday
27/11/2024,2024,4,11,November,27,3,Wednesday
28/11/2024,2024,4,11,November,28,4,Thursday
29/11/2024,2024,4,11,November,29,5,Friday
30/11/2024,2024,4,11,November,30,6,Saturday
01/12/2024,2024,4,12,December,1,7,Sunday
02/12/2024,2024,4,12,December,2,1,Monday
03/12/2024,2024,4,12,December,3,2,Tuesday
04/12/2024,2024,4,12,December,4,3,Wednesday
05/12/2024,2024,4,12,December,5,4,Thursday
06/12/2024,2024,4,12,December,6,5,Friday
07/12/2024,2024,4,12,December,7,6,Saturday
08/12/2024,2024,4,12,December,8,7,Sunday
09/12/2024,2024,4,12,December,9,1,Monday
10/12/2024,2024,4,12,December,10,2,Tuesday
11/12/2024,2024,4,12,December,11,3,Wednesday
12/12/2024,2024,4,12,December,12,4,Thursday
13/12/2024,2024,4,12,December,13,5,Friday
14/12/2024,2024,4,12,December,14,6,Saturday
15/12/2024,2024,4,12,December,15,7,Sunday
16/12/2024,2024,4,12,December,16,1,Monday
17/12/2024,2024,4,12,December,17,2,Tuesday
18/12/2024,2024,4,12,December,18,3,Wednesday
19/12/2024,2024,4,12,December,19,4,Thursday
20/12/2024,2024,4,12,December,20,5,Friday
21/12/2024,2024,4,12,December,21,6,Saturday
22/12/2024,2024,4,12,December,22,7,Sunday
23/12/2024,2024,4,12,December,23,1,Monday
24/12/2024,2024,4,12,December,24,2,Tuesday
25/12/2024,2024,4,12,December,25,3,Wednesday
26/12/2024,2024,4,12,December,26,4,Thursday
27/12/2024,2024,4,12,December,27,5,Friday
28/12/2024,2024,4,12,December,28,6,Saturday
29/12/2024,2024,4,12,December,29,7,Sunday
30/12/2024,2024,4,12,December,30,1,Monday
31/12/2024,2024,4,12,December,31,2,Tuesday
